2025-09-09 12:21:21.896 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:21:21.896 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:21:32.749 | INFO     | get_stock_punished_info:fetch_data:31 - Data fetched successfully from TWSE
2025-09-09 12:21:32.853 | INFO     | get_stock_punished_info:fetch_data:39 - Data fetched successfully from OTC
2025-09-09 12:21:33.076 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:21:33.076 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:21:58.714 | INFO     | get_stock_punished_info:fetch_data:31 - Data fetched successfully from TWSE
2025-09-09 12:21:59.542 | INFO     | get_stock_punished_info:fetch_data:39 - Data fetched successfully from OTC
2025-09-09 12:21:59.799 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:21:59.799 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:22:25.997 | INFO     | get_stock_punished_info:fetch_data:31 - Data fetched successfully from TWSE
2025-09-09 12:22:26.762 | INFO     | get_stock_punished_info:fetch_data:39 - Data fetched successfully from OTC
2025-09-09 12:22:26.997 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:22:26.997 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:22:30.018 | INFO     | get_stock_punished_info:fetch_data:31 - Data fetched successfully from TWSE
2025-09-09 12:22:30.099 | INFO     | get_stock_punished_info:fetch_data:39 - Data fetched successfully from OTC
2025-09-09 12:22:30.338 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:22:30.338 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:27:41.936 | INFO     | get_stock_punished_info:fetch_data:31 - Data fetched successfully from TWSE
2025-09-09 12:27:42.059 | INFO     | get_stock_punished_info:fetch_data:39 - Data fetched successfully from OTC
2025-09-09 12:27:42.293 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:27:42.293 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:28:00.973 | INFO     | get_stock_punished_info:fetch_data:31 - Data fetched successfully from TWSE
2025-09-09 12:28:01.041 | INFO     | get_stock_punished_info:fetch_data:39 - Data fetched successfully from OTC
2025-09-09 12:28:01.280 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:28:01.280 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:37:18.947 | INFO     | get_stock_punished_info:fetch_data:31 - Data fetched successfully from TWSE
2025-09-09 12:37:19.028 | INFO     | get_stock_punished_info:fetch_data:39 - Data fetched successfully from OTC
2025-09-09 12:37:19.270 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:37:19.270 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:38:10.157 | INFO     | get_stock_punished_info:fetch_data:31 - Data fetched successfully from TWSE
2025-09-09 12:38:10.247 | INFO     | get_stock_punished_info:fetch_data:39 - Data fetched successfully from OTC
2025-09-09 12:38:10.485 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:38:10.485 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:43:36.297 | INFO     | get_stock_punished_info:fetch_data:31 - Data fetched successfully from TWSE
2025-09-09 12:43:36.387 | INFO     | get_stock_punished_info:fetch_data:39 - Data fetched successfully from OTC
2025-09-09 12:43:36.616 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:43:36.616 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:49:05.641 | INFO     | get_stock_punished_info:fetch_data:31 - Data fetched successfully from TWSE
2025-09-09 12:49:05.727 | INFO     | get_stock_punished_info:fetch_data:39 - Data fetched successfully from OTC
2025-09-09 12:49:05.960 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:49:05.960 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:49:33.635 | INFO     | get_stock_punished_info:fetch_data:31 - Data fetched successfully from TWSE
2025-09-09 12:49:33.714 | INFO     | get_stock_punished_info:fetch_data:39 - Data fetched successfully from OTC
2025-09-09 12:49:33.964 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:49:33.964 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:52:54.515 | INFO     | get_stock_punished_info:fetch_data:31 - Data fetched successfully from TWSE
2025-09-09 12:52:54.604 | INFO     | get_stock_punished_info:fetch_data:39 - Data fetched successfully from OTC
2025-09-09 12:52:54.851 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:52:54.851 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:55:59.589 | INFO     | get_stock_punished_info:fetch_data:31 - Data fetched successfully from TWSE
2025-09-09 12:55:59.760 | INFO     | get_stock_punished_info:fetch_data:39 - Data fetched successfully from OTC
